0^1
Accessoires^1.000;0.777;0.780;0.786;0.803;0.706;0.806;0.760;0.697;0.751;0.769;0.771;0.754;0.769;0.769;0.729;0.783;0.720;0.609;0.794;0.800;0.786;0.809;0.806;0.817;0.811;0.800;0.806;0.817;0.814;0.811;0.806;0.794;0.811;0.803;0.811;0.791;0.811;0.811;0.794;0.803;0.811;0.803;0.811;0.809;0.794;0.803;0.789;0.811;0.806;0.811;0.814;0.811;0.814
Antiek & Kunst^0.777;1.000;0.929;0.917;0.946;0.683;0.937;0.891;0.783;0.889;0.877;0.874;0.869;0.911;0.900;0.860;0.914;0.811;0.700;0.926;0.926;0.911;0.946;0.943;0.949;0.949;0.937;0.931;0.949;0.946;0.943;0.943;0.931;0.949;0.940;0.949;0.929;0.949;0.949;0.937;0.934;0.949;0.934;0.949;0.946;0.926;0.940;0.920;0.949;0.943;0.949;0.940;0.949;0.917
Boek & Kantoor^0.780;0.929;1.000;0.931;0.954;0.691;0.951;0.917;0.797;0.903;0.874;0.883;0.883;0.920;0.914;0.869;0.929;0.826;0.709;0.940;0.940;0.926;0.960;0.957;0.963;0.963;0.951;0.940;0.963;0.960;0.957;0.957;0.946;0.963;0.954;0.963;0.943;0.963;0.963;0.980;0.954;0.963;0.949;0.963;0.960;0.940;0.954;0.934;0.963;0.957;0.963;0.954;0.963;0.931
Computerwinkel^0.786;0.917;0.931;1.000;0.954;0.691;0.951;0.940;0.797;0.909;0.869;0.883;0.889;0.920;0.914;0.869;0.929;0.826;0.697;0.951;0.946;0.926;0.960;0.957;0.969;0.963;0.957;0.940;0.963;0.960;0.957;0.957;0.946;0.963;0.954;0.963;0.943;0.963;0.963;0.946;0.949;0.963;0.954;0.963;0.960;0.940;0.966;0.934;0.963;0.963;0.963;0.954;0.963;0.931
Concept store^0.803;0.946;0.954;0.954;1.000;0.714;0.974;0.929;0.820;0.926;0.891;0.906;0.894;0.949;0.937;0.891;0.963;0.854;0.709;0.963;0.969;0.949;0.983;0.980;0.986;0.986;0.974;0.963;0.986;0.983;0.980;0.980;0.969;0.986;0.977;0.986;0.966;0.986;0.986;0.969;0.971;0.986;0.971;0.986;0.983;0.963;0.977;0.957;0.986;0.980;0.986;0.977;0.986;0.954
Dameskleding^0.706;0.683;0.691;0.691;0.714;1.000;0.711;0.666;0.746;0.680;0.651;0.649;0.631;0.714;0.674;0.634;0.689;0.660;0.531;0.700;0.700;0.749;0.720;0.717;0.723;0.723;0.711;0.700;0.723;0.720;0.729;0.717;0.706;0.729;0.726;0.723;0.731;0.723;0.723;0.706;0.709;0.723;0.709;0.723;0.720;0.746;0.714;0.694;0.723;0.717;0.723;0.726;0.723;0.714
Dier & Plant^0.806;0.937;0.951;0.951;0.974;0.711;1.000;0.926;0.817;0.929;0.900;0.903;0.897;0.940;0.934;0.894;0.949;0.846;0.717;0.960;0.960;0.946;0.980;0.977;0.983;0.983;0.971;0.960;0.983;0.980;0.977;0.977;0.966;0.983;0.974;0.983;0.963;0.983;0.983;0.966;0.969;0.989;0.969;0.983;0.980;0.960;0.974;0.954;0.983;0.977;0.983;0.974;0.983;0.951
Elektronica^0.760;0.891;0.917;0.940;0.929;0.666;0.926;1.000;0.771;0.883;0.843;0.857;0.846;0.894;0.889;0.849;0.903;0.800;0.677;0.926;0.926;0.900;0.934;0.931;0.943;0.937;0.937;0.914;0.937;0.934;0.931;0.931;0.920;0.937;0.929;0.937;0.917;0.943;0.937;0.920;0.929;0.937;0.934;0.937;0.934;0.914;0.934;0.909;0.937;0.937;0.937;0.934;0.937;0.911
Herenmode^0.697;0.783;0.797;0.797;0.820;0.746;0.817;0.771;1.000;0.791;0.734;0.749;0.743;0.826;0.780;0.740;0.794;0.754;0.586;0.806;0.806;0.837;0.826;0.823;0.829;0.829;0.823;0.806;0.829;0.826;0.840;0.823;0.811;0.834;0.831;0.829;0.831;0.829;0.829;0.811;0.814;0.829;0.814;0.829;0.826;0.817;0.820;0.800;0.829;0.823;0.829;0.820;0.829;0.797
Hobby & Sport^0.751;0.889;0.903;0.909;0.926;0.680;0.929;0.883;0.791;1.000;0.840;0.854;0.871;0.891;0.886;0.863;0.900;0.820;0.720;0.911;0.911;0.897;0.931;0.929;0.934;0.934;0.934;0.911;0.934;0.931;0.929;0.929;0.917;0.940;0.949;0.934;0.943;0.934;0.934;0.917;0.920;0.934;0.920;0.934;0.931;0.911;0.937;0.906;0.934;0.940;0.934;0.926;0.934;0.903
